sku,store,categories,attribute_set,type,color,size,name,simples_skus,configurable_attributes,description,short_description,special_price,qty,is_in_stock,manage_stock,status,visibility,tax_class_id,thumbnail,thumbnail_label,image,small_image,media_gallery,min_qty,min_sale_qty,max_sale_qty,notify_stock_qty,msrp_enabled,country_of_manufacture,meta_description,meta_keyword,meta_title,upc,ipc,division_code,class,class_description,collection,collection_description,selling_period,type_group,type_name,type_description,group,country_of_origin,package,length,width,height,weight,is_gift_card,product_code,composition,manufacturer,rn_number,hts_code,visual_stock_id,cost,price,msrp,stock_code,product_category,safety_qty,at_sell
T5J6N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L. Gel-Quantum 360,"889436058331,889436058348,889436058355,889436058386,889436058393,889436058409,889436058416,889436058423,889436058430,889436058447,889436058454,889436058461,889436058478,889436058485,889436058492,889436058508,889436058553,889436058560,889436058577,889436058584,889436058591,889436058607,889436058614,889436058621,889436058782,889436058799,889436058805,889436058850,889436058874,889436058881,889436058904,889436058911,889436058928,889436058935,889436058942,889436058959,889436058980,889436058997,889436059000,889436059017,889436059024,889436059031,889436059048,889436059055,889436059062,889436059079","color,size",<p>L. Gel-Quantum 360</p>,L. Gel-Quantum 360,,86,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12182.jpg,t5j6n_3793_f,http://app.visual-2000.com/imageapi/asicserp8_12182.jpg,http://app.visual-2000.com/imageapi/asicserp3_12182.jpg,http://app.visual-2000.com/imageapi/asicserp8_12182.jpg::t5j6n_3793_f,0,1,0,1,1,,<p>L. Gel-Quantum 360</p>,,L. Gel-Quantum 360,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Fall 2015,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T5J6N,,,,,5,0,121,219.99,WEB,REG,0,86
T692N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L.Gel Kinsei 6,"889436230140,889436230232,889436230249,889436230256,889436230263,889436230270,889436230287,889436230294,889436230300,889436230485,889436230577,889436230584,889436230591,889436230607,889436230614,889436230638,889436230645,889436230652,889436230744,889436230751,889436230768,889436230775,889436230782,889436230799,889436230805,889436230812","color,size",<p>L.Gel Kinsei 6</p>,L.Gel Kinsei 6,,135,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12900.jpg,T692N_9093_f,http://app.visual-2000.com/imageapi/asicserp8_12900.jpg,http://app.visual-2000.com/imageapi/asicserp3_12900.jpg,http://app.visual-2000.com/imageapi/asicserp8_12900.jpg::T692N_9093_f,0,1,0,1,1,,<p>L.Gel Kinsei 6</p>,,L.Gel Kinsei 6,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T692N,,,,,5,0,143,259.99,WEB,REG,0,135
T5J7N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L.Gel Quantum 180,"889436059086,889436059161,889436059178,889436059185,889436059192,889436059208,889436059215,889436059222,889436059239,889436059284,889436059291,889436059307,889436059314,889436059376,889436059536,889436059604,889436059611,889436059628,889436059635,889436059642,889436059659,889436059666,889436059673,889436145642,889436145659,889436145666,889436145697,889436145703,889436145710,889436145734,889436145741,889436145758,889436145765,889436145772,889436145789,889436145796,889436145802,889436145819,889436145840,889436145857,889436145864,889436145871,889436145888,889436145895,889436145901,889436145918,889436145925,889436145932","color,size",<p>L.Gel Quantum 180</p>,L.Gel Quantum 180,,84,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12188.jpg,t5j7n_0105_f,http://app.visual-2000.com/imageapi/asicserp8_12188.jpg,http://app.visual-2000.com/imageapi/asicserp3_12188.jpg,http://app.visual-2000.com/imageapi/asicserp8_12188.jpg::t5j7n_0105_f,0,1,0,1,1,,<p>L.Gel Quantum 180</p>,,L.Gel Quantum 180,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T5J7N,,,,,5,0,93.5,169.99,WEB,REG,0,84
T5F9N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L.Gel-Contend 3,"887749980660,887749980684,887749980745,887749980752,887749980769,887749980806,887749980813,887749980837,887749980905,887749980912,887749980929,887749980936,887749980943,887749980950,889436143525,889436143594,889436143600,889436143624,889436143631,889436143648,889436143655,889436143662","color,size",<p>L.Gel-Contend 3</p>,L.Gel-Contend 3,,41,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12800.jpg,T5F9N_9607_f,http://app.visual-2000.com/imageapi/asicserp8_12800.jpg,http://app.visual-2000.com/imageapi/asicserp3_12800.jpg,http://app.visual-2000.com/imageapi/asicserp8_12800.jpg::T5F9N_9607_f,0,1,0,1,1,,<p>L.Gel-Contend 3</p>,,L.Gel-Contend 3,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Fall 2015,D,Pour Femmes,Pour Femmes,1A03020201,,Unite,0,0,0,0,0,T5F9N,,,,,5,0,49.5,89.99,WEB,REG,0,41
T689N,fr,Femmes/Women's/Asics Shoes/Fuzex,Default,configurable,,,L. Fuzex,"889436161321,889436161338,889436161345,889436161376,889436161383,889436161390,889436161406,889436161413,889436161420,889436161437,889436161444,889436161451,889436161468,889436161475,889436161482,889436161499,889436161529,889436161536,889436161543,889436161550,889436161567,889436161574,889436161581,889436161598,889436161604,889436161611,889436161628,889436161635,889436161642,889436161673,889436161680,889436161697,889436161703,889436161710,889436161727,889436161734,889436161741,889436161758,889436161765,889436161772,889436161826,889436161833,889436161840,889436161857,889436161864,889436161871,889436161888,889436161895,889436161901,889436161918,889436161925,889436161932,889436161949,889436161970,889436161987,889436161994,889436162007,889436162014,889436162021,889436162038,889436162045,889436162052","color,size",<p>L. Fuzex</p>,L. Fuzex,,192,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12899.jpg,T689N_9067_f,http://app.visual-2000.com/imageapi/asicserp8_12899.jpg,http://app.visual-2000.com/imageapi/asicserp3_12899.jpg,http://app.visual-2000.com/imageapi/asicserp8_12899.jpg::T689N_9067_f,0,1,0,1,1,,<p>L. Fuzex</p>,,L. Fuzex,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Fuzex,Fuzex,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T689N,,,,,5,0,77,139.99,WEB,REG,0,192
T571N,fr,Femmes/Women's/Asics Shoes/Maximum Support,Default,configurable,,,L.Gel Fortify,"887749733020,887749733037,887749733044,887749733099,887749733105,887749733129","color,size",<p>L.Gel Fortify</p>,L.Gel Fortify,,11,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_10139.jpg,t571n_9140_0000000000_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_10139.jpg,http://app.visual-2000.com/imageapi/asicserp3_10139.jpg,http://app.visual-2000.com/imageapi/asicserp8_10139.jpg::t571n_9140_0000000000_f_l_primary,0,1,0,1,1,,<p>L.Gel Fortify</p>,,L.Gel Fortify,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Maximum Support,Maximum Support,Spring 2015,D,Pour Femmes,Pour Femmes,1A030201,,Unite,0,0,0,0,0,T571N,,,,,5,0,93.5,179.99,WEB,REG,0,11
T5G7N,fr,Femmes/Women's/Asics Shoes/Maximum Support,Default,configurable,,,L.Gel Fortitude 7,"887749982060,887749982077,887749982084,887749982138,887749982145,887749982152,887749982169,887749982176,887749982183,887749982190,887749982206,887749982213,887749982282,887749982299,887749982329,887749982336,887749982343,887749982350","color,size",<p>L.Gel Fortitude 7</p>,L.Gel Fortitude 7,,34,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11092.jpg,t5g7n_9306_0000000000_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_11092.jpg,http://app.visual-2000.com/imageapi/asicserp3_11092.jpg,http://app.visual-2000.com/imageapi/asicserp8_11092.jpg::t5g7n_9306_0000000000_f_l_primary,0,1,0,1,1,,<p>L.Gel Fortitude 7</p>,,L.Gel Fortitude 7,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Maximum Support,Maximum Support,Fall 2015,D,Pour Femmes,Pour Femmes,1A030201,,Unite,0,0,0,0,0,T5G7N,,,,,5,0,88,159.99,WEB,REG,0,34
T5H5N,fr,Femmes/Women's/Asics Shoes/Maximum Support,Default,configurable,,,L.Gel Foundation 12,"887749982992,887749983005,887749983012,887749983067,887749983074,887749983081,887749983098,887749983104,887749983111,887749983128,887749983135,887749983142,887749983210,887749983227,887749983234,887749983241,887749983258,887749983265,887749983272,887749983289","color,size",<p>L.Gel Foundation 12</p>,L.Gel Foundation 12,,40,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11096.jpg,t5h5n_7006_0000000000_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_11096.jpg,http://app.visual-2000.com/imageapi/asicserp3_11096.jpg,http://app.visual-2000.com/imageapi/asicserp8_11096.jpg::t5h5n_7006_0000000000_f_l_primary,0,1,0,1,1,,<p>L.Gel Foundation 12</p>,,L.Gel Foundation 12,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Maximum Support,Maximum Support,Fall 2015,D,Pour Femmes,Pour Femmes,1A030201,,Unite,0,0,0,0,0,T5H5N,,,,,5,0,88,159.99,WEB,REG,0,40
R556Y,fr,Femmes/Women's/Asics Shoes/Multi-Court,Default,configurable,,,L. Gel Blade 5,"887749927658,887749927702,887749927719,887749927726,887749927733,887749927740,887749927757,887749927764,887749927771,887749927788,887749927795","color,size",<p>L. Gel Blade 5</p>,L. Gel Blade 5,,22,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11015.jpg,r556y_0187_0000000000_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_11015.jpg,http://app.visual-2000.com/imageapi/asicserp3_11015.jpg,http://app.visual-2000.com/imageapi/asicserp8_11015.jpg::r556y_0187_0000000000_f_l_primary,0,1,0,1,1,,<p>L. Gel Blade 5</p>,,L. Gel Blade 5,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Multi-Court,Multi-Court,Fall 2015,D,Pour Femmes,Pour Femmes,1A100201,,Unite,0,0,0,0,0,R556Y,,,,,5,0,77,139.99,WEB,REG,0,22
E465Y,fr,Femmes/Women's/Asics Shoes/Multi-Court,Default,configurable,,,L. Gel Domain 3,"887749444988,887749444995,887749445008,887749445053,887749445084,887749445091,887749445107,887749445114,887749445121","color,size",<p>L. Gel Domain 3</p>,L. Gel Domain 3,,21,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_9091.jpg,e465y_6101_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_9091.jpg,http://app.visual-2000.com/imageapi/asicserp3_9091.jpg,http://app.visual-2000.com/imageapi/asicserp8_9091.jpg::e465y_6101_f_l_primary,0,1,0,1,1,,<p>L. Gel Domain 3</p>,,L. Gel Domain 3,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Multi-Court,Multi-Court,Fall 2014,D,Pour Femmes,Pour Femmes,1A100201,,Unite,0,0,0,0,0,E465Y,,,,,5,0,77,139.99,WEB,REG,0,21
E464Y,fr,Femmes/Women's/Asics Shoes/Multi-Court,Default,configurable,,,L. Gel Fastball,"889436071088,889436071132,889436071149,889436071156,889436071163,889436071170,889436071187,889436071194,889436071200","color,size",<p>L. Gel Fastball</p>,L. Gel Fastball,,27,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_10956.jpg,E464Y_4093_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_10956.jpg,http://app.visual-2000.com/imageapi/asicserp3_10956.jpg,http://app.visual-2000.com/imageapi/asicserp8_10956.jpg::E464Y_4093_f_l_primary,0,1,0,1,1,,<p>L. Gel Fastball</p>,,L. Gel Fastball,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Multi-Court,Multi-Court,Fall 2015,D,Pour Femmes,Pour Femmes,1A100201,,Unite,0,0,0,0,0,E464Y,,,,,5,0,71.5,129.99,WEB,REG,0,27
B455N,fr,Femmes/Women's/Asics Shoes/Multi-Court,Default,configurable,,,L. Gel Rocket 7,"887749442045,887749442052,887749442120,887749442144,887749442151,887749442168,887749442175,887749442182,887749442199,889436122452,889436122537,889436122544,889436122551,889436122568,889436122575,889436122582,889436122599,889436122605,889436122773,889436122780,889436122797,889436122834,889436122841,889436122858,889436122865,889436122872,889436122889,889436122896,889436122902,889436122919,889436122926","color,size",<p>L. Gel Rocket 7</p>,L. Gel Rocket 7,,61,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11951.jpg,b455n_9390_f,http://app.visual-2000.com/imageapi/asicserp8_11951.jpg,http://app.visual-2000.com/imageapi/asicserp3_11951.jpg,http://app.visual-2000.com/imageapi/asicserp8_11951.jpg::b455n_9390_f,0,1,0,1,1,,<p>L. Gel Rocket 7</p>,,L. Gel Rocket 7,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Multi-Court,Multi-Court,Fall 2014,D,Pour Femmes,Pour Femmes,1A080201,,Unite,0,0,0,0,0,B455N,,,,,5,0,55,99.99,WEB,REG,0,61
E659Y,fr,Femmes/Women's/Asics Shoes/Multi-Court,Default,configurable,,,L. Gel-Domain 4,"889436385765,889436385772,889436385789,889436385819,889436385826,889436385833,889436385840,889436385857,889436385864,889436385871,889436385888","color,size",<p>L. Gel-Domain 4</p>,L. Gel-Domain 4,,22,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12742.jpg,E659Y_0601_f,http://app.visual-2000.com/imageapi/asicserp8_12742.jpg,http://app.visual-2000.com/imageapi/asicserp3_12742.jpg,http://app.visual-2000.com/imageapi/asicserp8_12742.jpg::E659Y_0601_f,0,1,0,1,1,,<p>L. Gel-Domain 4</p>,,L. Gel-Domain 4,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Multi-Court,Multi-Court,Fall 2016,D,Pour Femmes,Pour Femmes,1A100201,,Unite,0,0,0,0,0,E659Y,,,,,5,0,71.5,129.99,WEB,REG,0,22
S653Y,fr,Femmes/Women's/Asics Shoes/Performance Training,Default,configurable,,,L. Gel-Craze Tr 3,"889436136824,889436136879,889436136886,889436136909,889436136916","color,size",<p>L. Gel-Craze Tr 3</p>,L. Gel-Craze Tr 3,,8,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12057.jpg,s653y_9093_f,http://app.visual-2000.com/imageapi/asicserp8_12057.jpg,http://app.visual-2000.com/imageapi/asicserp3_12057.jpg,http://app.visual-2000.com/imageapi/asicserp8_12057.jpg::s653y_9093_f,0,1,0,1,1,,<p>L. Gel-Craze Tr 3</p>,,L. Gel-Craze Tr 3,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Performance Training,Performance Training,Spring 2016,D,Pour Femmes,Pour Femmes,1A990201,,Unite,0,0,0,0,0,S653Y,,,,,5,0,66,119.99,WEB,REG,0,8
T6C8N,fr,Femmes/Women's/Asics Shoes/Running,Default,configurable,,,L. Gel Cumulus 18,"889436406026,889436406033,889436406040,889436406095,889436406101,889436406118,889436406125,889436406132,889436406149,889436406156,889436406163,889436406170,889436406187,889436406194,889436406200,889436406217,889436406262,889436406279,889436406286,889436406293,889436406309,889436406316,889436406323,889436406330,889436406347,889436406354,889436406538,889436406545,889436406552,889436406606,889436406613,889436406620,889436406637,889436406644,889436406651,889436406668,889436406675,889436406682,889436406699,889436508959,889436508966,889436508973,889436509024,889436509031,889436509048,889436509055,889436509062,889436509079,889436509086,889436509093,889436509109,889436509116","color,size",<p>L. Gel Cumulus 18</p>,L. Gel Cumulus 18,,169,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13524.jpg,T6C8N_6701_RT,http://app.visual-2000.com/imageapi/asicserp8_13524.jpg,http://app.visual-2000.com/imageapi/asicserp3_13524.jpg,http://app.visual-2000.com/imageapi/asicserp8_13524.jpg::T6C8N_6701_RT,0,1,0,1,1,,<p>L. Gel Cumulus 18</p>,,L. Gel Cumulus 18,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Running,Running,Fall 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T6C8N,,,,,5,0,88,159.99,WEB,REG,0,169
T6A8N,fr,Femmes/Women's/Asics Shoes/Running,Default,configurable,,,L. Gt-1000 5,"889436402042,889436402059,889436402066,889436402097,889436402103,889436402110,889436402127,889436402134,889436402141,889436402158,889436402165,889436402172,889436402189,889436402196,889436402202,889436402219,889436402264,889436402271,889436402288,889436402295,889436402301,889436402318,889436402325,889436402332,889436402349,889436402356,889436402363,889436402394,889436402400,889436402417,889436402424,889436402431,889436402448,889436402455,889436402462,889436402479,889436402486,889436402493,889436402509,889436402516,889436402561,889436402585,889436402592,889436402608,889436402615,889436402622,889436402639,889436402646,889436402653,889436402660,889436402691,889436402707,889436402714,889436402721,889436402738,889436402745,889436402752,889436402769,889436402776,889436402783","color,size",<p>L. Gt-1000 5</p>,L. Gt-1000 5,,157,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13520.jpg,T6A8N_9601_RT,http://app.visual-2000.com/imageapi/asicserp8_13520.jpg,http://app.visual-2000.com/imageapi/asicserp3_13520.jpg,http://app.visual-2000.com/imageapi/asicserp8_13520.jpg::T6A8N_9601_RT,0,1,0,1,1,,<p>L. Gt-1000 5</p>,,L. Gt-1000 5,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Running,Running,Fall 2016,D,Pour Femmes,Pour Femmes,1A03020101,,Unite,0,0,0,0,0,T6A8N,,,,,5,0,77,139.99,WEB,REG,0,157
T676N,fr,Femmes/Women's/Asics Shoes/Speed,Default,configurable,,,L. Gel Noosa Tri 11,"889436159656,889436159670,889436159717,889436159724,889436159731,889436159748,889436159755,889436159762,889436159779,889436159786,889436159793,889436159809,889436159816,889436159830,889436159892,889436159908,889436159915,889436159922,889436159939,889436159946,889436159953,889436159960,889436397560,889436397584,889436397669,889436397676,889436397683,889436397690,889436397706,889436397713,889436397720,889436397805,889436397812,889436397829,889436397836,889436397843,889436397850,889436397867,889436397874","color,size",<p>L. Gel Noosa Tri 11</p>,L. Gel Noosa Tri 11,,128,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12897.jpg,T676N_5807_f,http://app.visual-2000.com/imageapi/asicserp8_12897.jpg,http://app.visual-2000.com/imageapi/asicserp3_12897.jpg,http://app.visual-2000.com/imageapi/asicserp8_12897.jpg::T676N_5807_f,0,1,0,1,1,,<p>L. Gel Noosa Tri 11</p>,,L. Gel Noosa Tri 11,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Speed,Speed,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020105,,Unite,0,0,0,0,0,T676N,,,,,5,0,99,179.99,WEB,REG,0,128
T679N,fr,Femmes/Women's/Asics Shoes/Speed,Default,configurable,,,L. Gel-Hyper Speed 7,"889436160270,889436160324,889436160331,889436160348,889436160355,889436160362,889436160379,889436160386,889436160393,889436160409,889436160416","color,size",<p>L. Gel-Hyper Speed 7</p>,L. Gel-Hyper Speed 7,,39,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13553.jpg,T679N_4320_RT,http://app.visual-2000.com/imageapi/asicserp8_13553.jpg,http://app.visual-2000.com/imageapi/asicserp3_13553.jpg,http://app.visual-2000.com/imageapi/asicserp8_13553.jpg::T679N_4320_RT,0,1,0,1,1,,<p>L. Gel-Hyper Speed 7</p>,,L. Gel-Hyper Speed 7,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Speed,Speed,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020105,,Unite,0,0,0,0,0,T679N,,,,,5,0,66,119.99,WEB,REG,0,39
T579N,fr,Femmes/Women's/Asics Shoes/Speed,Default,configurable,,,L.Gel Ds Trainer 20 Neutral,"887749810240,887749810257,887749810264,887749810295,887749810301,887749810318,887749810325,887749810332,887749810349,887749810356,887749810363,887749810370,887749810387","color,size",<p>L.Gel Ds Trainer 20 Neutral</p>,L.Gel Ds Trainer 20 Neutral,,26,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11184.jpg,T579N_3401_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_11184.jpg,http://app.visual-2000.com/imageapi/asicserp3_11184.jpg,http://app.visual-2000.com/imageapi/asicserp8_11184.jpg::T579N_3401_f_l_primary,0,1,0,1,1,,<p>L.Gel Ds Trainer 20 Neutral</p>,,L.Gel Ds Trainer 20 Neutral,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Speed,Speed,Spring 2015,D,Pour Femmes,Pour Femmes,1A030201,,Unite,0,0,0,0,0,T579N,,,,,5,0,93.5,169.99,WEB,REG,0,26
T597N,fr,Femmes/Women's/Asics Shoes/Structured Cushioning,Default,configurable,,,L Gel Kayano 22,"887749969818,887749969825,887749969832,887749969887,887749969894,887749969900,887749969917,887749969924,887749969931,887749969948,887749969955,887749969962,887749969979,887749970159,887749970173,887749970227,887749970234,887749970241,887749970258,887749970265,887749970272,887749970289,887749970296,887749970302,887749970319,887749970326,887749970333,887749970340,887749970357,887749970418,887749970425,887749970432,887749970449,887749970456,887749970463,887749970470,887749970487,887749970494,887749970500,887749970517,887749970524,887749970562,887749970579,887749970586,887749970593,887749970609,887749970616,887749970623,887749970630,887749970647,887749970654,889436237163,889436237170,889436237187,889436237231,889436237248,889436237255,889436237262,889436237279,889436237286,889436237293,889436237309,889436237316,889436237323,889436237330,889436237347,889436237354,889436237422,889436237439,889436237446,889436237453,889436237477,889436237484,889436237491","color,size",<p>L Gel Kayano 22</p>,L Gel Kayano 22,,259,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12078.jpg,t597n_9006_f,http://app.visual-2000.com/imageapi/asicserp8_12078.jpg,http://app.visual-2000.com/imageapi/asicserp3_12078.jpg,http://app.visual-2000.com/imageapi/asicserp8_12078.jpg::t597n_9006_f,0,1,0,1,1,,<p>L Gel Kayano 22</p>,,L Gel Kayano 22,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Structured Cushioning,Structured Cushioning,Fall 2015,D,Pour Femmes,Pour Femmes,1A030201,,Unite,0,0,0,0,0,T597N,,,,,5,0,115,199.99,WEB,REG,0,259
T5A6N,fr,Femmes/Women's/Asics Shoes/Structured Cushioning,Default,configurable,,,L Gel Kayano 22 Lite-Show,"887749972764,887749972771,887749972788,887749972856,887749972863,887749972870,887749972887,887749972894,887749972900,887749972917,887749972924","color,size",<p>L Gel Kayano 22 Lite-Show</p>,L Gel Kayano 22 Lite-Show,,33,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11169.jpg,t5a6n_6793_0000000000_f_l_primary,http://app.visual-2000.com/imageapi/asicserp8_11169.jpg,http://app.visual-2000.com/imageapi/asicserp3_11169.jpg,http://app.visual-2000.com/imageapi/asicserp8_11169.jpg::t5a6n_6793_0000000000_f_l_primary,0,1,0,1,1,,<p>L Gel Kayano 22 Lite-Show</p>,,L Gel Kayano 22 Lite-Show,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Structured Cushioning,Structured Cushioning,Fall 2015,D,Pour Femmes,Pour Femmes,1A030201,,Unite,0,0,0,0,0,T5A6N,,,,,5,0,120,209.99,WEB,REG,0,33
T656N,fr,Femmes/Women's/Asics Shoes/Structured Cushioning,Default,configurable,,,L. Gt-2000 4,"889436155788,889436155795,889436155801,889436155856,889436155870,889436155887,889436155894,889436155900,889436155917,889436155924,889436155931,889436155948,889436255006,889436255013,889436255020,889436255075,889436255082,889436255099,889436255105,889436255112,889436255129,889436255136,889436255143,889436255150,889436255167,889436255174,889436255181,889436255198,889436255266,889436255273,889436255280,889436255297,889436255303,889436255310,889436255327,889436255334,889436273482,889436273499,889436273505,889436273574,889436273581,889436273598,889436273604,889436273611,889436273628,889436273635,889436273642,889436298805,889436298829,889436298874,889436298881,889436298898,889436298904,889436298911,889436298928,889436298935,889436298942,889436298959,889436298966","color,size",<p>L. Gt-2000 4</p>,L. Gt-2000 4,,211,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12888.jpg,T656N_5307_f,http://app.visual-2000.com/imageapi/asicserp8_12888.jpg,http://app.visual-2000.com/imageapi/asicserp3_12888.jpg,http://app.visual-2000.com/imageapi/asicserp8_12888.jpg::T656N_5307_f,0,1,0,1,1,,<p>L. Gt-2000 4</p>,,L. Gt-2000 4,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Structured Cushioning,Structured Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020101,,Unite,0,0,0,0,0,T656N,,,,,5,0,93.5,169.99,WEB,REG,0,211
T663N,fr,Femmes/Women's/Asics Shoes/Structured Cushioning,Default,configurable,,,L. Gt-2000 4 G-Tx,"889436298973,889436298980,889436298997,889436299048,889436299055,889436299062,889436299079,889436299086,889436299093,889436299116,889436299123,889436299130","color,size",<p>L. Gt-2000 4 G-Tx</p>,L. Gt-2000 4 G-Tx,,30,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12121.jpg,t663n_3393_f,http://app.visual-2000.com/imageapi/asicserp8_12121.jpg,http://app.visual-2000.com/imageapi/asicserp3_12121.jpg,http://app.visual-2000.com/imageapi/asicserp8_12121.jpg::t663n_3393_f,0,1,0,1,1,,<p>L. Gt-2000 4 G-Tx</p>,,L. Gt-2000 4 G-Tx,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Structured Cushioning,Structured Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020104,,Unite,0,0,0,0,0,T663N,,,,,5,0,99,179.99,WEB,REG,0,30
T6F9N,fr,Femmes/Women's/Asics Shoes/Structured Cushioning,Default,configurable,,,L. Gt-2000 4 Lite-Show Pg,"889436416766,889436416773,889436416803,889436416810,889436416827,889436416834,889436416841,889436416858","color,size",<p>L. Gt-2000 4 Lite-Show Pg</p>,L. Gt-2000 4 Lite-Show Pg,,22,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12842.jpg,T6F9N_0693_f,http://app.visual-2000.com/imageapi/asicserp8_12842.jpg,http://app.visual-2000.com/imageapi/asicserp3_12842.jpg,http://app.visual-2000.com/imageapi/asicserp8_12842.jpg::T6F9N_0693_f,0,1,0,1,1,,<p>L. Gt-2000 4 Lite-Show Pg</p>,,L. Gt-2000 4 Lite-Show Pg,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Structured Cushioning,Structured Cushioning,Fall 2016,D,Pour Femmes,Pour Femmes,1A03020101,,Unite,0,0,0,0,0,T6F9N,,,,,5,0,104.5,189.99,WEB,REG,0,22
